Country Name,Country Code,Indicator Name,Indicator Code,Population_2000,Population_2001,Population_2002,Population_2003,Population_2004,Population_2005,Population_2006,Population_2007,Population_2008,Population_2009,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Code,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,Plastic_Waste_2000,Plastic_Waste_2001,Plastic_Waste_2002,Plastic_Waste_2003,Plastic_Waste_2004,Plastic_Waste_2005,Plastic_Waste_2006,Plastic_Waste_2007,Plastic_Waste_2008,Plastic_Waste_2009,Plastic_Waste_2010,Plastic_Waste_2011,Plastic_Waste_2012,Plastic_Waste_2013,Plastic_Waste_2014,Plastic_Waste_2015,Plastic_Waste_2016,Plastic_Waste_2017,Plastic_Waste_2018
Austria,AUT,"Population, total",SP.POP.TOTL,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,AUT,34796.258,35272.223,35823.586,36063.12,36957.113,37642.76,38866.848,40305.273,40964.793,39463.656,40288.348,41446.0,41565.0,41375.0,41338.0,41294.0,41445.0,42177.37,42988.07,26.21,25.43,24.75,26.69,27.55,27.35,28.8,29.49,30.23,30.66,31.63,31.48,32.24,34.05,34.16,34.12,34.09,34.36,34.16
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,BEL,33719.77,33923.344,34419.695,34588.477,35740.35,36338.383,37051.902,38082.875,38117.348,36998.65,37739.33,38130.0,37906.0,37737.0,38228.0,38569.0,38766.0,39352.164,39756.203,23.78,23.32,24.97,26.8,27.01,27.7,28.66,29.06,28.16,28.11,28.96,28.62,28.85,29.51,29.36,30.13,30.28,30.36,30.4
Cyprus,CYP,"Population, total",SP.POP.TOTL,948237.0,964830.0,982194.0,1000350.0,1018684.0,1037062.0,1055438.0,1073873.0,1092390.0,1110974.0,1129686.0,1145086.0,1156556.0,1166968.0,1176995.0,1187280.0,1197881.0,1208523.0,1218831.0,CYP,22326.799,23095.736,23828.072,24347.076,25355.24,26164.209,27142.018,28109.996,28736.975,27735.033,27630.104,27272.0,26011.0,24519.0,24411.0,24963.0,25577.0,26445.287,27184.416,22.042,22.65,23.884,22.634,44.83,46.36,17.05,19.18,21.11,19.48,19.03,17.85,17.62,18.25,18.56,18.99,19.34,20.47,19.97
Czechia,CZE,"Population, total",SP.POP.TOTL,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,CZE,17056.16,17868.568,18431.027,19344.09,20555.035,22128.58,23888.164,25382.807,26186.045,25093.863,25922.395,26725.0,26474.0,26338.0,27024.0,28194.0,28823.0,29997.758,30748.508,22.042,22.65,23.884,16.94,17.37,20.25,19.93,21.08,20.82,19.99,20.01,19.95,20.14,20.46,20.79,23.45,22.42,23.59,25.16
Germany,DEU,"Population, total",SP.POP.TOTL,82211508.0,82349925.0,82488495.0,82534176.0,82516260.0,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,DEU,33367.285,34260.29,34590.93,34716.44,35528.715,36205.574,38014.137,39752.207,40715.434,38962.938,41109.582,43189.0,43320.0,43413.0,43922.0,44293.0,44689.0,45619.785,46177.617,21.78,22.95,25.13,25.09,27.33,28.71,31.46,32.14,33.28,32.0,32.9,34.58,35.27,35.63,36.37,37.36,37.62,38.53,39.03
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,DNK,39021.176,39425.863,39709.37,39983.145,41178.562,42264.63,44025.484,44481.47,44246.4,42090.17,42932.4,43575.0,43510.0,43733.0,44241.0,44635.0,44836.0,45455.555,46312.344,29.44,28.02,29.25,28.71,32.25,33.73,35.09,35.12,30.01,29.96,29.82,33.8,32.85,33.85,33.22,34.67,37.46,34.81,42.88
Spain,ESP,"Population, total",SP.POP.TOTL,40567864.0,40850412.0,41431558.0,42187645.0,42921895.0,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,ESP,26994.86,28153.553,28753.322,29371.865,30088.092,30885.602,31907.424,32735.434,32844.324,31669.691,31786.404,31600.0,30699.0,30280.0,30819.0,31847.0,30110.0,30908.12,31496.52,29.41,32.24,31.84,33.36,34.09,35.86,36.38,37.12,34.49,31.12,30.01,28.99,27.89,28.0,30.52,31.75,32.84,34.53,35.37
Estonia,EST,"Population, total",SP.POP.TOTL,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,EST,16806.975,17696.61,18589.15,19771.742,20803.758,22518.541,24578.816,26177.871,24429.021,20538.049,20713.426,21997.0,23026.0,23436.0,24146.0,24493.0,24857.0,26254.201,27408.664,27.718,27.982,28.902,29.388,21.26,23.29,26.85,27.85,53.72,39.42,38.22,39.18,35.98,49.06,50.17,46.47,49.1,49.95,41.9
Finland,FIN,"Population, total",SP.POP.TOTL,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,FIN,32689.77,33481.68,33986.555,34607.22,35888.613,36787.258,38160.703,39998.527,40129.652,36662.613,37615.113,38432.0,37704.0,37246.0,36858.0,36836.0,37239.0,38366.56,38896.7,16.88,16.85,16.75,17.15,17.2,19.08,18.4,18.63,21.71,21.04,21.67,21.74,21.65,21.65,21.38,21.27,22.36,23.66,24.52
France,FRA,"Population, total",SP.POP.TOTL,60921384.0,61367388.0,61816234.0,62256970.0,62716306.0,63188395.0,63628261.0,64021737.0,64379696.0,64710879.0,65030575.0,65345233.0,65662240.0,66002289.0,66312067.0,66548272.0,66724104.0,66918020.0,67158348.0,FRA,33409.68,33920.098,34152.773,34292.03,35093.824,35495.465,36166.16,36845.684,36761.793,35534.926,36086.727,36691.0,36571.0,36632.0,36527.0,36827.0,37124.0,37895.0,38515.918,29.29,29.21,30.29,31.43,31.66,31.86,32.53,33.12,31.89,29.1,30.88,31.2,30.53,30.09,31.1,32.06,32.65,34.8,35.09
Greece,GRC,"Population, total",SP.POP.TOTL,10805808.0,10862132.0,10902022.0,10928070.0,10955141.0,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,GRC,20965.332,21913.797,22893.959,24380.066,25780.385,26091.523,27731.111,28822.916,28907.926,27839.898,26517.465,24349.0,22693.0,22118.0,22344.0,22442.0,22574.0,22959.121,23450.766,24.06,24.86,26.14,27.45,27.84,23.85,27.22,26.7,21.66,21.34,19.92,18.71,16.74,16.55,16.93,16.99,17.32,17.5,18.83
Croatia,HRV,"Population, total",SP.POP.TOTL,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,HRV,13244.541,13817.681,14683.838,15740.499,16628.574,17581.36,18707.49,19984.037,20717.316,19501.588,19511.35,19813.0,19441.0,19298.0,19284.0,19698.0,20376.0,21232.361,22012.314,22.042,22.65,23.884,18.49,23.062,23.756,18.084,19.152,18.352,17.36,17.848000000000003,17.544,11.31,11.46,11.59,12.35,13.12,14.67,15.73
Hungary,HUN,"Population, total",SP.POP.TOTL,10210971.0,10187576.0,10158608.0,10129552.0,10107146.0,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,HUN,13129.273,13933.562,14899.307,15829.899,16999.006,18140.617,19253.062,19763.791,20380.63,19461.07,20036.334,20886.0,20631.0,21126.0,22040.0,22788.0,23279.0,24349.959,25622.812,22.472,22.764,23.606,22.504,16.33,18.62,19.71,21.73,21.44,22.89,21.09,20.93,25.9,27.85,26.21,30.46,31.48,32.24,34.84
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174.0,3866243.0,3931947.0,3996521.0,4070262.0,4159914.0,4273591.0,4398942.0,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,IRL,38806.5,40966.332,43012.816,44372.758,47028.863,49223.383,51296.195,52322.23,49583.14,47375.734,48623.81,48980.0,48333.0,48743.0,52651.0,54278.0,56597.0,60544.277,64684.3,44.84,44.89,45.09,56.13,51.99,52.41,61.75,54.03,55.25,49.47,41.14,34.65,36.65,44.4,59.32,60.01,57.94,58.38,54.24
Italy,ITA,"Population, total",SP.POP.TOTL,56942108.0,56974100.0,57059007.0,57313203.0,57685327.0,57969484.0,58143979.0,58438310.0,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,ITA,32716.98,33511.434,33780.055,33917.8,34472.13,34872.125,35713.805,36310.734,35942.938,34055.227,34765.938,35151.0,34068.0,33094.0,32829.0,33118.0,33419.0,34027.336,34364.168,33.37,34.23,34.19,34.9,35.61,36.21,37.87,38.84,37.48,35.4,34.94,34.94,34.46,33.91,34.25,35.05,36.53,37.52,37.93
Lithuania,LTU,"Population, total",SP.POP.TOTL,3499536.0,3470818.0,3443067.0,3415213.0,3377075.0,3322528.0,3269909.0,3231294.0,3198231.0,3162916.0,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,LTU,10806.874,11606.729,12490.621,13917.508,14995.767,16417.95,17916.059,20138.473,20879.803,17983.35,18663.762,20243.0,21303.0,22274.0,23252.0,23889.0,24743.0,26157.205,27370.555,22.042,22.65,23.884,18.49,14.97,15.44,17.3,19.96,19.95,17.12,18.25,19.93,19.98,21.37,22.87,22.55,22.88,25.42,27.08
Luxembourg,LUX,"Population, total",SP.POP.TOTL,436300.0,441525.0,446175.0,451630.0,458095.0,465158.0,472637.0,479993.0,488650.0,497783.0,506953.0,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,LUX,50063.824,50527.664,51709.734,51717.03,52624.164,53262.094,54920.81,58369.703,56383.19,52731.39,54086.336,54031.0,52562.0,53411.0,55102.0,55972.0,57006.0,56779.55,57427.5,21.87,21.89,21.81,39.5,48.19,47.93,46.88,52.58,44.47,41.56,43.96,45.92,45.73,50.1,50.02,46.88,46.14,46.39,42.61
Latvia,LVA,"Population, total",SP.POP.TOTL,2367550.0,2337170.0,2310173.0,2287955.0,2263122.0,2238799.0,2218357.0,2200325.0,2177322.0,2141669.0,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,LVA,11309.74,12103.828,13015.475,14142.124,15371.182,17069.656,19128.69,21042.367,20342.2,17582.111,17140.227,18428.0,19405.0,20129.0,20751.0,21488.0,22092.0,23132.797,24312.678,22.042,22.65,23.884,18.49,15.96,16.22,18.24,17.95,17.66,14.59,16.78,17.57,18.18,20.14,19.41,20.92,20.55,20.31,22.63
Malta,MLT,"Population, total",SP.POP.TOTL,390087.0,393028.0,395969.0,398582.0,401268.0,403834.0,405308.0,406724.0,409379.0,412477.0,414508.0,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,MLT,20434.549,20413.05,20873.984,21273.135,21233.002,21905.215,22233.717,23048.264,23674.594,22927.654,23632.625,23871.0,24301.0,25162.0,26998.0,28700.0,29817.0,30901.93,32028.912,22.472,22.764,23.606,21.198,15.72,16.03,16.41,21.63,35.3,32.24,29.34,27.39,25.82,26.95,25.72,28.03,31.94,28.41,31.8
Netherlands,NLD,"Population, total",SP.POP.TOTL,15925513.0,16046180.0,16148929.0,16225302.0,16281779.0,16319868.0,16346101.0,16381696.0,16445593.0,16530388.0,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,NLD,37899.95,38636.223,38653.125,38803.957,39682.375,40679.49,42286.51,44008.75,44840.71,43178.508,43812.348,44591.0,43957.0,43744.0,44205.0,44869.0,45600.0,46650.754,47474.11,28.76,30.29,32.82,33.22,33.72,36.27,27.22,28.45,26.88,25.86,27.32,26.6,27.39,27.85,28.11,29.04,29.54,29.89,30.35
Poland,POL,"Population, total",SP.POP.TOTL,38258629.0,38248076.0,38230364.0,38204570.0,38182222.0,38165445.0,38141267.0,38120560.0,38125759.0,38151603.0,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,POL,12732.167,13017.584,13415.571,14035.637,14906.094,15580.937,16711.447,18067.428,19011.547,19718.465,20608.693,21837.0,22188.0,22510.0,23266.0,24177.0,24838.0,26061.164,27455.236,22.042,22.65,23.884,18.49,17.37,16.59,18.09,13.53,17.57,17.47,19.27,20.61,21.86,23.53,23.6,24.63,26.53,27.42,25.94
Portugal,PRT,"Population, total",SP.POP.TOTL,10289898.0,10362722.0,10419631.0,10458821.0,10483861.0,10503330.0,10522288.0,10542964.0,10558177.0,10568247.0,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,PRT,23372.041,23751.371,23896.459,23677.52,24142.766,24377.95,24809.04,25477.205,25590.88,24902.457,25463.164,25133.0,24218.0,24076.0,24423.0,24915.0,25346.0,26298.791,27035.6,27.79,29.28,31.19,31.55,32.86,33.86,35.86,35.89,36.74,35.77,34.14,33.79,33.31,34.16,34.59,35.7,36.66,38.86,40.31
Romania,ROU,"Population, total",SP.POP.TOTL,22442971.0,22131970.0,21730496.0,21574326.0,21451748.0,21319685.0,21193760.0,20882982.0,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,ROU,7089.9463,7860.4434,8673.619,9369.233,10531.172,11313.822,12823.231,14418.83,16347.344,15866.127,16377.328,17174.0,17174.0,17979.0,18515.0,19320.0,17782.0,19158.36,20126.293,22.042,22.65,23.884,18.49,17.09,15.56,16.75,17.97,16.19,14.42,13.89,13.84,14.86,14.53,16.92,18.12,17.7,18.4,20.1
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5388720.0,5378867.0,5376912.0,5373374.0,5372280.0,5372807.0,5373054.0,5374622.0,5379233.0,5386406.0,5391428.0,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,SVK,13904.985,14361.901,14984.731,15773.095,16570.861,17649.52,19099.428,21109.94,22231.988,20953.037,21941.213,22483.0,22816.0,23132.0,23703.0,24588.0,25364.0,26096.148,27075.535,22.042,22.65,23.884,12.5,9.31,16.79,11.16,13.96,15.14,16.97,19.62,19.75,19.33,18.06,18.03,19.62,21.99,22.83,24.22
Slovenia,SVN,"Population, total",SP.POP.TOTL,1988925.0,1992060.0,1994530.0,1995733.0,1997012.0,2000474.0,2006868.0,2018122.0,2021316.0,2039669.0,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,SVN,21501.336,22006.953,22725.312,23257.422,24150.584,24966.94,26182.78,27832.764,28473.596,25905.514,26000.92,26004.0,25252.0,24944.0,25693.0,26268.0,26908.0,28190.18,29244.92,22.042,22.65,23.884,18.49,16.2,16.97,23.59,22.66,23.69,22.85,22.1,21.79,21.8,20.41,21.44,21.85,22.45,24.28,23.81
Sweden,SWE,"Population, total",SP.POP.TOTL,8872109.0,8895960.0,8924958.0,8958229.0,8993531.0,9029572.0,9080505.0,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,SWE,34202.605,34666.664,35569.773,36435.754,38016.062,39258.992,40992.3,42399.844,42189.965,40116.312,42634.754,42079.0,41650.0,41811.0,42476.0,43746.0,44659.0,45192.742,45541.89,16.73,17.93,18.74,18.41,19.03,19.45,20.46,20.91,20.95,20.61,21.16,22.43,22.44,23.18,23.55,23.57,24.03,23.93,24.17
